Number,Chat id,Date,Type message,Question,Answer,Model
5,797103302,2021-05-19 10:02:39+00:00,text,'Привет','Приветствую!👋',ML model
6,797103302,2021-05-19 10:02:44+00:00,text,'кто готовит справку  об антиплагиате',"'🚫Плагиат – это скопированный контент, опубликованный на другом сайте без изменений.\n\t\tКак работает антиплагиат? Обычно это веб-сервис или приложение, в которое автор загружает свой текст, а на выходе получает количество уникального и заимствованного контента в процентном соотношении.\n\t\tДля бакалавров процент уникальности составляет 65%, для магистрантов - 75%.\n\t\tСправка об антиплагиате готовится и подписывается руководителем.'",ML model
7,797103302,2021-05-19 10:02:50+00:00,audio,'какие диски нужны',"'💿📀На нормоконтроль необходимо предоставить два компакт-диска (CD или DVD – не важно) и две этикетки, подписанные руководителем.\n\t\t◦ на первый диск нужно записать: ПЗ в формате pdf (одним файлом! Файл с ПЗ должен включать в себя заполненный титульный лист, задание, аннотацию, содержание, саму работу, список литературы и приложения), программный продукт, графический материал в формате pdf (записываем одним файлом!), рекламный проспект, этикетка ВКР.\n\t\t◦ на второй диск нужно записать всё то же самое, за исключением программного продукта.'",ML model
1,797103302,2021-05-28 11:29:29+00:00,text,'привет\n','Здравствуй.👋',ML model
2,797103302,2021-05-28 11:29:37+00:00,text,'привет\n','Добро пожаловать.👋',ML model
3,797103302,2021-05-28 11:29:43+00:00,text,'привет\n','Добро пожаловать.👋',ML model
4,797103302,2021-05-28 11:29:49+00:00,text,'привет\n','Здравствуй.👋',ML model
5,797103302,2021-05-28 11:29:53+00:00,text,'привет\n','Рад вас слышать!😀',ML model
6,797103302,2021-05-28 11:30:11+00:00,text,'что делать после нормоконтроль\n',"'‼После прохождения нормоконтроля пояснительная записка прошивается (необходимо будет сделать твердый переплет).\n\t\tПричем, прошивается только ПЗ! Графический материал (подписанные листы) прикладываются в файлике отдельно, отзыв руководителя - отдельно, антиплагиат - отдельно.'",ML model
7,797103302,2021-05-28 11:30:35+00:00,text,'что такой нормоконтроль\n',"'📌Нормоконтроль – это проверка выпускной квалификационной работы на соответствие государственным стандартам, а также требованиям конкретного учебного заведения.\n\t\tЦелью такой проверки является помощь студенту написать и оформить работу, чтобы на защите дипломной работы не возникало никаких вопросов по поводу оформления.\t\tНормоконтроль – это обязательный этап написания выпускных работ в высших учебных заведениях.\n  На нормоконтроль необходимо иметь при себе:\n • пояснительную записку;\n • 2 компакт-диска (+две этикетки, подписанные руководителем);\n • графическую часть;\n • отзыв руководителя;\n • результат проверки на антиплагиат;\n • раздаточный материал (5 копий графической части);\n • акт о внедрении (при наличии);\n • рецензия (для магистрантов).'",ML model
8,797103302,2021-05-28 11:30:58+00:00,text,'как быть\n','📅Расписание появится позже',ML model
